Disease,County,Year,MALE,FEMALE
Amebiasis,ORANGE,2005,7,2
Amebiasis,ORANGE,2006,9,4
Amebiasis,ORANGE,2007,13,6
Amebiasis,ORANGE,2008,9,2
Amebiasis,ORANGE,2009,13,6
Amebiasis,ORANGE,2010,14,2
Amebiasis,ORANGE,2011,5,2
Amebiasis,ORANGE,2012,8,7
Amebiasis,ORANGE,2013,11,3
Amebiasis,ORANGE,2014,14,7
Amebiasis,ORANGE,2015,11,3
Amebiasis,ORANGE,2016,8,5
Amebiasis,ORANGE,2017,6,5
Amebiasis,ORANGE,2018,5,3
Amebiasis,PLACER,2001,1,1
Amebiasis,PLACER,2002,0,1
Amebiasis,PLACER,2003,0,0
Amebiasis,PLACER,2004,1,1
Amebiasis,PLACER,2005,0,0
Amebiasis,PLACER,2006,0,0
Amebiasis,PLACER,2007,0,0
Amebiasis,PLACER,2008,0,0
Amebiasis,PLACER,2009,0,0
Amebiasis,PLACER,2010,0,0
Amebiasis,PLACER,2011,0,1
Amebiasis,PLACER,2012,0,0
Amebiasis,PLACER,2013,0,0
Amebiasis,PLACER,2014,0,0
Amebiasis,PLACER,2015,0,0
Amebiasis,PLACER,2016,0,0
Amebiasis,PLACER,2017,2,1
Amebiasis,PLACER,2018,1,0
Amebiasis,PLUMAS,2001,0,0
Amebiasis,PLUMAS,2002,0,0
Amebiasis,PLUMAS,2003,0,0
Amebiasis,PLUMAS,2004,0,0
Amebiasis,PLUMAS,2005,0,0
Amebiasis,PLUMAS,2006,0,0
Amebiasis,PLUMAS,2007,0,0
Amebiasis,PLUMAS,2008,0,0
Amebiasis,PLUMAS,2009,0,0
Amebiasis,PLUMAS,2010,0,0
Amebiasis,PLUMAS,2011,0,0
Amebiasis,PLUMAS,2012,0,0
Amebiasis,PLUMAS,2013,0,0
Amebiasis,PLUMAS,2014,0,0
Amebiasis,PLUMAS,2015,0,0
Amebiasis,PLUMAS,2016,0,0
Amebiasis,PLUMAS,2017,0,0
Amebiasis,PLUMAS,2018,0,0
Amebiasis,RIVERSIDE,2001,0,1
Amebiasis,RIVERSIDE,2002,1,2
Amebiasis,RIVERSIDE,2003,1,3
Amebiasis,RIVERSIDE,2004,2,1
Amebiasis,RIVERSIDE,2005,2,1
Amebiasis,RIVERSIDE,2006,7,4
Amebiasis,RIVERSIDE,2007,5,5
Amebiasis,RIVERSIDE,2008,3,1
Amebiasis,RIVERSIDE,2009,3,0
Amebiasis,RIVERSIDE,2010,2,2
Amebiasis,RIVERSIDE,2011,5,4
Amebiasis,RIVERSIDE,2012,14,1
Amebiasis,RIVERSIDE,2013,9,1
Amebiasis,RIVERSIDE,2014,3,3
Amebiasis,RIVERSIDE,2015,6,1
Amebiasis,RIVERSIDE,2016,7,3
Amebiasis,RIVERSIDE,2017,1,0
Amebiasis,RIVERSIDE,2018,3,2
Amebiasis,SACRAMENTO,2001,2,6
Amebiasis,SACRAMENTO,2002,4,1
Amebiasis,SACRAMENTO,2003,7,5
Amebiasis,SACRAMENTO,2004,2,5
